CCG17CDH,expected_prevalence,QOF_prevalence,Ratio_expected_to_observed
02W,1.02,0.42,2.411963338
08M,1.10,0.48,2.27998176
07P,1.58,0.74,2.127659574
08N,1.82,0.91,1.983339944
08W,1.53,0.78,1.945525292
08D,1.48,0.76,1.940617116
08K,1.27,0.65,1.932740626
08L,1.50,0.79,1.879699248
08V,0.99,0.53,1.858045336
07V,1.92,1.03,1.856320772
04C,1.70,0.93,1.817190623
10T,1.46,0.80,1.811594203
08Q,1.29,0.71,1.808645325
07L,1.46,0.81,1.786990708
07T,1.18,0.66,1.755309812
07X,1.93,1.09,1.752848379
08X,1.35,0.77,1.747030049
08Y,1.75,1.01,1.72146669
08R,1.81,1.05,1.714677641
06P,1.73,1.01,1.713502399
08E,2.10,1.22,1.70998632
07Y,1.62,0.95,1.697216565
08J,1.91,1.13,1.676164935
00W,1.24,0.74,1.674761347
08A,1.58,0.94,1.668891856
05L,1.86,1.12,1.662234043
04X,1.70,1.02,1.659751037
10W,1.47,0.88,1.658374793
08F,2.58,1.56,1.651527663
07W,1.63,0.98,1.650165017
07M,2.06,1.25,1.643385374
00Y,2.11,1.29,1.632120124
07G,2.00,1.23,1.62022035
01M,1.61,0.99,1.62022035
08H,1.38,0.85,1.609010459
05A,2.17,1.35,1.60436387
10L,3.57,2.24,1.590583744
03F,2.18,1.36,1.590330789
00V,2.38,1.51,1.577038322
08T,2.20,1.39,1.575547503
08G,1.98,1.26,1.568135487
04F,1.81,1.15,1.568135487
03K,2.80,1.78,1.565925462
99F,3.11,1.99,1.558846454
01D,2.18,1.40,1.552312946
06W,2.42,1.56,1.549186677
08C,1.45,0.93,1.54822728
08P,2.06,1.32,1.546551191
06Q,2.70,1.74,1.544878727
10G,2.17,1.40,1.544401544
10N,2.40,1.56,1.539645881
02T,2.40,1.56,1.538461538
09A,1.60,1.04,1.533977604
05H,2.67,1.73,1.532801962
00Q,2.04,1.33,1.531628121
13P,2.14,1.40,1.530456076
99G,2.66,1.74,1.529051988
06A,2.39,1.56,1.528584531
04L,2.76,1.80,1.528350909
04K,1.69,1.10,1.528117359
09W,2.22,1.46,1.517911354
03J,2.17,1.43,1.515151515
07N,2.42,1.59,1.513775356
10J,2.41,1.59,1.512859304
03A,2.37,1.56,1.511715797
11D,2.46,1.62,1.510802236
06M,3.25,2.15,1.509206158
10D,2.46,1.62,1.508295626
07R,1.44,0.95,1.508295626
10C,2.60,1.72,1.507386192
99E,2.51,1.66,1.506931887
09D,1.97,1.31,1.504438092
07K,3.03,2.01,1.498127341
99H,2.80,1.87,1.488316714
00T,2.24,1.50,1.486767767
02E,2.60,1.75,1.485884101
09H,2.04,1.37,1.485001485
06H,2.30,1.55,1.484119917
09Y,2.50,1.68,1.481481481
02R,2.18,1.47,1.47972773
04E,2.56,1.73,1.478415139
07H,2.53,1.71,1.476886723
10X,1.94,1.31,1.473839352
10M,2.43,1.64,1.472970982
06F,2.41,1.63,1.471453796
01A,2.46,1.67,1.468860165
05P,2.78,1.89,1.467351431
09J,2.52,1.72,1.462202076
06K,2.43,1.66,1.461560947
04N,2.88,1.97,1.461347362
12D,2.20,1.50,1.461347362
04R,2.56,1.75,1.459427904
05X,2.28,1.56,1.457088737
10Q,2.40,1.64,1.456876457
99M,2.42,1.66,1.456452083
02V,2.31,1.58,1.454545455
05F,3.30,2.27,1.450116009
00J,2.59,1.78,1.447387466
03C,1.97,1.36,1.444251878
06Y,3.16,2.18,1.443209698
05J,2.63,1.82,1.443209698
05D,2.61,1.80,1.441961067
06N,2.35,1.63,1.436575205
03G,2.18,1.51,1.436162574
01Y,2.34,1.63,1.427347987
04D,2.70,1.89,1.424501425
13T,2.24,1.57,1.424501425
07Q,2.52,1.77,1.424095699
11A,3.11,2.18,1.423082396
09X,2.81,1.97,1.422272792
01E,2.34,1.64,1.421464108
04G,2.36,1.66,1.419849496
99C,2.70,1.90,1.419244962
05Q,2.79,1.96,1.41723356
10K,2.98,2.10,1.416430595
03X,2.69,1.90,1.412429379
06D,3.17,2.24,1.412229911
05T,3.00,2.12,1.40944327
06T,2.93,2.08,1.408450704
11C,2.39,1.69,1.405283867
02Y,3.30,2.35,1.403508772
01H,3.11,2.21,1.403114915
04V,2.59,1.84,1.402327864
02G,2.85,2.02,1.40193467
03W,2.96,2.12,1.397233478
04Y,2.65,1.89,1.397038279
02P,2.53,1.80,1.397038279
00M,2.50,1.78,1.396258028
10H,2.61,1.87,1.39586823
05Y,2.43,1.74,1.395478649
11N,3.19,2.29,1.393728223
06L,2.97,2.13,1.393534002
03V,2.03,1.45,1.392951665
05N,3.28,2.36,1.390627173
09G,3.44,2.48,1.385233412
05V,3.01,2.17,1.385041551
04M,2.81,2.02,1.384466288
01V,3.48,2.51,1.384083045
10E,3.04,2.19,1.383700014
02M,3.53,2.55,1.38121547
00D,2.75,1.99,1.380452789
03T,3.40,2.46,1.38026225
05R,2.94,2.13,1.38026225
01N,1.74,1.26,1.380071764
03Y,2.86,2.07,1.378739832
00L,3.11,2.25,1.376651982
99D,3.11,2.25,1.374759417
00C,2.68,1.95,1.372872048
00N,2.70,1.96,1.370989855
99N,2.96,2.17,1.365001365
03L,2.57,1.88,1.364442625
00X,2.63,1.92,1.36425648
99P,3.06,2.24,1.361655773
04Q,3.00,2.20,1.360914535
11E,2.62,1.92,1.359064963
10V,3.10,2.28,1.357220413
99K,3.11,2.29,1.355932203
01W,2.65,1.95,1.35501355
00P,2.58,1.90,1.354829969
11M,2.86,2.11,1.354096141
03R,2.48,1.83,1.354096141
03Q,2.69,1.98,1.353912808
06V,3.92,2.89,1.352813853
11H,1.90,1.40,1.349345567
10R,2.09,1.54,1.346801347
01C,3.12,2.32,1.342101731
09N,2.66,1.98,1.340482574
02A,2.43,1.81,1.337971635
04H,2.85,2.13,1.334044824
03H,2.70,2.02,1.332267519
01K,2.70,2.02,1.331026221
05W,2.38,1.78,1.329610424
05G,2.93,2.20,1.326787847
99J,2.67,2.01,1.323801959
03D,3.34,2.52,1.32310135
03N,2.29,1.72,1.322751323
12A,2.58,1.95,1.317523057
03E,3.05,2.31,1.315443304
10Y,2.48,1.88,1.313197636
01X,2.69,2.05,1.309243257
05C,2.81,2.15,1.307702367
04J,3.02,2.31,1.306506402
01J,2.28,1.74,1.30565348
00R,2.84,2.17,1.303441084
11J,3.31,2.54,1.301574906
02X,2.58,1.98,1.298532658
02N,2.93,2.26,1.292156609
09L,2.51,1.94,1.290156109
11X,3.19,2.47,1.288493751
03M,3.27,2.54,1.283697047
09P,3.52,2.74,1.282380097
99Q,3.45,2.69,1.280737705
10A,3.12,2.43,1.279426817
02Q,2.92,2.29,1.276161307
00K,2.46,1.93,1.274534795
09E,2.74,2.15,1.27388535
07J,3.45,2.71,1.271779219
02H,2.50,1.97,1.266945395
01G,1.99,1.58,1.260716087
99A,2.11,1.67,1.258336479
01T,2.66,2.11,1.257229067
11T,3.13,2.49,1.253761284
02F,2.82,2.25,1.249219238
01R,2.73,2.19,1.245330012
02D,2.57,2.10,1.221299463
09F,3.58,3.01,1.18835413
01F,2.28,1.94,1.174536058
12F,2.82,2.43,1.16117046
09C,2.53,2.43,1.03950104
