sex,age,eq5d_r,informal_care_cost
men,16,0,12546.83594
men,17,0,12713.70802
men,18,0,12879.42741
men,19,0,13043.9311
men,20,0,13207.15945
men,21,0,13369.05623
men,22,0,13529.56872
men,23,0,13688.64767
men,24,0,13846.24739
men,25,0,14002.32571
men,26,0,14156.84394
men,27,0,14309.76685
men,28,0,14461.06257
men,29,0,14610.70252
men,30,0,14758.66128
men,31,0,14904.91651
men,32,0,15049.44873
men,33,0,15192.24122
men,34,0,15333.2798
men,35,0,15472.55269
men,36,0,15610.05022
men,37,0,15745.76472
men,38,0,15879.69018
men,39,0,16011.82211
men,40,0,16142.15724
men,41,0,16270.69328
men,42,0,16397.42868
men,43,0,16522.36234
men,44,0,16645.49339
men,45,0,16766.8209
men,46,0,16886.34363
men,47,0,17004.05977
men,48,0,17119.96669
men,49,0,17234.06068
men,50,0,17346.33671
men,51,0,17456.78821
men,52,0,17565.40682
men,53,0,17672.18218
men,54,0,17777.10173
men,55,0,17880.15047
men,56,0,17981.31086
men,57,0,18080.56257
men,58,0,18177.88234
men,59,0,18273.24389
men,60,0,18366.61771
men,61,0,18457.97102
men,62,0,18547.26767
men,63,0,18634.46803
men,64,0,18719.52896
men,65,0,18802.40377
men,66,0,18883.04223
men,67,0,18961.39054
men,68,0,19037.39136
men,69,0,19110.98391
men,70,0,19182.10395
men,71,0,19250.68396
men,72,0,19316.6532
men,73,0,19379.93787
men,74,0,19440.46125
men,75,0,19498.1439
men,76,0,19552.90386
men,77,0,19604.65684
men,78,0,19653.31652
men,79,0,19698.79476
men,80,0,19741.00194
men,81,0,19779.84719
men,82,0,19815.23877
men,83,0,19847.0844
men,84,0,19875.29158
men,85,0,19899.76797
men,86,0,19920.42178
men,87,0,19937.16213
men,88,0,19949.89946
men,89,0,19958.54595
men,90,0,19963.01586
men,91,0,19963.22601
men,92,0,19959.09615
men,93,0,19950.54934
men,94,0,19937.5124
men,95,0,19919.91626
men,96,0,19897.69632
men,97,0,19870.79287
men,98,0,19839.15139
men,99,0,19802.72293
men,100,0,19761.46435
women,16,0,12616.24037
women,17,0,12796.21783
women,18,0,12975.46243
women,19,0,13153.89497
women,20,0,13331.4378
women,21,0,13508.01491
women,22,0,13683.55209
women,23,0,13857.97692
women,24,0,14031.21892
women,25,0,14203.20953
women,26,0,14373.88222
women,27,0,14543.17248
women,28,0,14711.01782
women,29,0,14877.3578
women,30,0,15042.13403
women,31,0,15205.29009
women,32,0,15366.77153
women,33,0,15526.52582
women,34,0,15684.50227
women,35,0,15840.65193
women,36,0,15994.92757
women,37,0,16147.28352
women,38,0,16297.67558
women,39,0,16446.06092
women,40,0,16592.39792
women,41,0,16736.6461
women,42,0,16878.7659
women,43,0,17018.71861
women,44,0,17156.46619
women,45,0,17291.97111
women,46,0,17425.19625
women,47,0,17556.10468
women,48,0,17684.65958
women,49,0,17810.82401
women,50,0,17934.56086
women,51,0,18055.83262
women,52,0,18174.60131
women,53,0,18290.8283
women,54,0,18404.47423
women,55,0,18515.49884
women,56,0,18623.86093
women,57,0,18729.5182
women,58,0,18832.4272
women,59,0,18932.54325
women,60,0,19029.82037
women,61,0,19124.21124
women,62,0,19215.66716
women,63,0,19304.13802
women,64,0,19389.57231
women,65,0,19471.9171
women,66,0,19551.1181
women,67,0,19627.11967
women,68,0,19699.86489
women,69,0,19769.29563
women,70,0,19835.35261
women,71,0,19897.97556
women,72,0,19957.10326
women,73,0,20012.67375
women,74,0,20064.62441
women,75,0,20112.89218
women,76,0,20157.4137
women,77,0,20198.12551
women,78,0,20234.96424
women,79,0,20267.86684
women,80,0,20296.7708
women,81,0,20321.61439
women,82,0,20342.33685
women,83,0,20358.87871
women,84,0,20371.18201
women,85,0,20379.19054
women,86,0,20382.85013
women,87,0,20382.10891
women,88,0,20376.91754
women,89,0,20367.22951
women,90,0,20353.00138
women,91,0,20334.19303
women,92,0,20310.7679
women,93,0,20282.69326
women,94,0,20249.94038
women,95,0,20212.48482
women,96,0,20170.30657
women,97,0,20123.39028
women,98,0,20071.72542
women,99,0,20015.30646
women,100,0,19954.13297
men,16,0.05,11844.60341
men,17,0.05,11996.31754
men,18,0.05,12146.75704
men,19,0.05,12295.87102
men,20,0.05,12443.61249
men,21,0.05,12589.93846
men,22,0.05,12734.80994
men,23,0.05,12878.19195
men,24,0.05,13020.05347
men,25,0.05,13160.36745
men,26,0.05,13299.1107
men,27,0.05,13436.2638
men,28,0.05,13571.811
men,29,0.05,13705.74009
men,30,0.05,13838.04224
men,31,0.05,13968.71183
men,32,0.05,14097.74626
men,33,0.05,14225.14574
men,34,0.05,14350.9131
men,35,0.05,14475.05351
men,36,0.05,14597.57429
men,37,0.05,14718.48461
men,38,0.05,14837.79525
men,39,0.05,14955.51833
men,40,0.05,15071.66703
men,41,0.05,15186.25529
men,42,0.05,15299.29757
men,43,0.05,15410.80854
men,44,0.05,15520.80277
men,45,0.05,15629.29449
men,46,0.05,15736.2973
men,47,0.05,15841.82387
men,48,0.05,15945.88568
men,49,0.05,16048.49277
men,50,0.05,16149.65343
men,51,0.05,16249.37403
men,52,0.05,16347.6587
men,53,0.05,16444.50912
men,54,0.05,16539.92434
men,55,0.05,16633.90051
men,56,0.05,16726.43072
men,57,0.05,16817.50479
men,58,0.05,16907.10915
men,59,0.05,16995.22661
men,60,0.05,17081.83628
men,61,0.05,17166.91343
men,62,0.05,17250.42937
men,63,0.05,17332.3514
men,64,0.05,17412.64266
men,65,0.05,17491.26219
men,66,0.05,17568.1648
men,67,0.05,17643.3011
men,68,0.05,17716.61753
men,69,0.05,17788.05634
men,70,0.05,17857.55568
men,71,0.05,17925.04965
men,72,0.05,17990.46843
men,73,0.05,18053.73834
men,74,0.05,18114.78205
men,75,0.05,18173.51869
men,76,0.05,18229.86407
men,77,0.05,18283.73088
men,78,0.05,18335.02891
men,79,0.05,18383.66534
men,80,0.05,18429.54498
men,81,0.05,18472.57058
men,82,0.05,18512.64318
men,83,0.05,18549.66239
men,84,0.05,18583.52683
men,85,0.05,18614.13441
men,86,0.05,18641.3828
men,87,0.05,18665.16978
men,88,0.05,18685.39371
men,89,0.05,18701.95391
men,90,0.05,18714.75111
men,91,0.05,18723.68791
men,92,0.05,18728.66921
men,93,0.05,18729.60266
men,94,0.05,18726.39911
men,95,0.05,18718.97303
men,96,0.05,18707.24297
men,97,0.05,18691.13198
men,98,0.05,18670.568
men,99,0.05,18645.48427
men,100,0.05,18615.81973
women,16,0.05,11982.44162
women,17,0.05,12149.80178
women,18,0.05,12316.33597
women,19,0.05,12481.97332
women,20,0.05,12646.64501
women,21,0.05,12810.28432
women,22,0.05,12972.82676
women,23,0.05,13134.21012
women,24,0.05,13294.3745
women,25,0.05,13453.26239
women,26,0.05,13610.81864
women,27,0.05,13766.99051
women,28,0.05,13921.72763
women,29,0.05,14074.98198
women,30,0.05,14226.70788
women,31,0.05,14376.8619
women,32,0.05,14525.4028
women,33,0.05,14672.29146
women,34,0.05,14817.49075
women,35,0.05,14960.96549
women,36,0.05,15102.68224
women,37,0.05,15242.60926
women,38,0.05,15380.71628
women,39,0.05,15516.97442
women,40,0.05,15651.35602
women,41,0.05,15783.83444
women,42,0.05,15914.38393
women,43,0.05,16042.97942
women,44,0.05,16169.5964
women,45,0.05,16294.21066
women,46,0.05,16416.79817
women,47,0.05,16537.3349
women,48,0.05,16655.79659
women,49,0.05,16772.15862
women,50,0.05,16886.39582
women,51,0.05,16998.48232
women,52,0.05,17108.39134
women,53,0.05,17216.09508
women,54,0.05,17321.56457
women,55,0.05,17424.76949
women,56,0.05,17525.6781
women,57,0.05,17624.25706
women,58,0.05,17720.47138
women,59,0.05,17814.2843
women,60,0.05,17905.65718
women,61,0.05,17994.54949
women,62,0.05,18080.91873
women,63,0.05,18164.72038
women,64,0.05,18245.90789
women,65,0.05,18324.43268
women,66,0.05,18400.24415
women,67,0.05,18473.28971
women,68,0.05,18543.5148
women,69,0.05,18610.86299
women,70,0.05,18675.27603
women,71,0.05,18736.69397
women,72,0.05,18795.05525
women,73,0.05,18850.29685
women,74,0.05,18902.35445
women,75,0.05,18951.16253
women,76,0.05,18996.65465
women,77,0.05,19038.76356
women,78,0.05,19077.42145
women,79,0.05,19112.56016
women,80,0.05,19144.11144
women,81,0.05,19172.00715
women,82,0.05,19196.17958
women,83,0.05,19216.56166
women,84,0.05,19233.08728
women,85,0.05,19245.69155
women,86,0.05,19254.31109
women,87,0.05,19258.88433
women,88,0.05,19259.35181
women,89,0.05,19255.65643
women,90,0.05,19247.74381
women,91,0.05,19235.56252
women,92,0.05,19219.06441
women,93,0.05,19198.20485
women,94,0.05,19172.94302
women,95,0.05,19143.24216
women,96,0.05,19109.06985
women,97,0.05,19070.39818
women,98,0.05,19027.20402
women,99,0.05,18979.46922
women,100,0.05,18927.18076
men,16,0.1,11147.39905
men,17,0.1,11283.67521
men,18,0.1,11418.55737
men,19,0.1,11552.0079
men,20,0.1,11683.99367
men,21,0.1,11814.48603
men,22,0.1,11943.46082
men,23,0.1,12070.8983
men,24,0.1,12196.78312
men,25,0.1,12321.10418
men,26,0.1,12443.85455
men,27,0.1,12565.03133
men,28,0.1,12684.63546
men,29,0.1,12802.67158
men,30,0.1,12919.14783
men,31,0.1,13034.07557
men,32,0.1,13147.46924
men,33,0.1,13259.34606
men,34,0.1,13369.72577
men,35,0.1,13478.63039
men,36,0.1,13586.08391
men,37,0.1,13692.11202
men,38,0.1,13796.74182
men,39,0.1,13900.00152
men,40,0.1,14001.92013
men,41,0.1,14102.52716
men,42,0.1,14201.85232
men,43,0.1,14299.92523
men,44,0.1,14396.7751
men,45,0.1,14492.43044
men,46,0.1,14586.91878
men,47,0.1,14680.26637
men,48,0.1,14772.4979
men,49,0.1,14863.63623
men,50,0.1,14953.70211
men,51,0.1,15042.71398
men,52,0.1,15130.68762
men,53,0.1,15217.63604
men,54,0.1,15303.56913
men,55,0.1,15388.49354
men,56,0.1,15472.41242
men,57,0.1,15555.32528
men,58,0.1,15637.22775
men,59,0.1,15718.11146
men,60,0.1,15797.96391
men,61,0.1,15876.76828
men,62,0.1,15954.50336
men,63,0.1,16031.1434
men,64,0.1,16106.65809
men,65,0.1,16181.01245
men,66,0.1,16254.16676
men,67,0.1,16326.07658
men,68,0.1,16396.6927
men,69,0.1,16465.96118
men,70,0.1,16533.82334
men,71,0.1,16600.21583
men,72,0.1,16665.0707
men,73,0.1,16728.31551
men,74,0.1,16789.8734
men,75,0.1,16849.66328
men,76,0.1,16907.59996
men,77,0.1,16963.59437
men,78,0.1,17017.55371
men,79,0.1,17069.38176
men,80,0.1,17118.97908
men,81,0.1,17166.24334
men,82,0.1,17211.06957
men,83,0.1,17253.35056
men,84,0.1,17292.97713
men,85,0.1,17329.83859
men,86,0.1,17363.82304
men,87,0.1,17394.81788
men,88,0.1,17422.71016
men,89,0.1,17447.38706
men,90,0.1,17468.73633
men,91,0.1,17486.6468
men,92,0.1,17501.0088
men,93,0.1,17511.71469
men,94,0.1,17518.65934
men,95,0.1,17521.7406
men,96,0.1,17520.8598
men,97,0.1,17515.92224
men,98,0.1,17506.83765
men,99,0.1,17493.52068
men,100,0.1,17475.8913
women,16,0.1,11359.18071
women,17,0.1,11513.75149
women,18,0.1,11667.3963
women,19,0.1,11820.05326
women,20,0.1,11971.66307
women,21,0.1,12122.169
women,22,0.1,12271.51703
women,23,0.1,12419.65587
women,24,0.1,12566.53697
women,25,0.1,12712.11456
women,26,0.1,12856.34565
women,27,0.1,12999.18999
women,28,0.1,13140.61005
women,29,0.1,13280.57094
women,30,0.1,13419.04038
women,31,0.1,13555.98856
women,32,0.1,13691.3881
women,33,0.1,13825.2139
women,34,0.1,13957.44299
women,35,0.1,14088.05443
women,36,0.1,14217.02913
women,37,0.1,14344.34972
women,38,0.1,14470.00031
women,39,0.1,14593.96637
women,40,0.1,14716.23452
women,41,0.1,14836.79233
women,42,0.1,14955.6281
women,43,0.1,15072.73071
women,44,0.1,15188.08935
women,45,0.1,15301.69336
women,46,0.1,15413.53199
women,47,0.1,15523.59421
women,48,0.1,15631.86848
women,49,0.1,15738.34261
women,50,0.1,15843.00347
women,51,0.1,15945.83689
women,52,0.1,16046.8274
women,53,0.1,16145.9581
women,54,0.1,16243.21047
women,55,0.1,16338.56424
women,56,0.1,16431.99719
women,57,0.1,16523.48505
women,58,0.1,16613.00137
women,59,0.1,16700.51741
women,60,0.1,16786.00204
women,61,0.1,16869.42162
women,62,0.1,16950.74001
women,63,0.1,17029.91844
women,64,0.1,17106.91553
women,65,0.1,17181.68722
women,66,0.1,17254.18681
women,67,0.1,17324.36496
women,68,0.1,17392.16973
women,69,0.1,17457.5466
women,70,0.1,17520.43859
women,71,0.1,17580.7863
women,72,0.1,17638.52807
women,73,0.1,17693.60006
women,74,0.1,17745.9364
women,75,0.1,17795.46938
women,76,0.1,17842.1296
women,77,0.1,17885.8462
women,78,0.1,17926.54702
women,79,0.1,17964.15889
women,80,0.1,17998.60783
women,81,0.1,18029.81934
women,82,0.1,18057.71865
women,83,0.1,18082.23101
women,84,0.1,18103.28201
women,85,0.1,18120.79782
women,86,0.1,18134.70559
women,87,0.1,18144.93369
women,88,0.1,18151.41209
women,89,0.1,18154.07265
women,90,0.1,18152.84947
women,91,0.1,18147.67919
women,92,0.1,18138.50135
women,93,0.1,18125.25869
women,94,0.1,18107.89744
women,95,0.1,18086.36768
women,96,0.1,18060.62356
women,97,0.1,18030.62365
women,98,0.1,17996.33117
women,99,0.1,17957.71425
women,100,0.1,17914.74614
men,16,0.15,10453.11394
men,17,0.15,10573.70017
men,18,0.15,10692.7825
men,19,0.15,10810.33789
men,20,0.15,10926.34826
men,21,0.15,11040.80043
men,22,0.15,11153.6861
men,23,0.15,11265.00169
men,24,0.15,11374.74828
men,25,0.15,11482.93143
men,26,0.15,11589.56101
men,27,0.15,11694.65103
men,28,0.15,11798.21941
men,29,0.15,11900.28776
men,30,0.15,12000.88114
men,31,0.15,12100.02778
men,32,0.15,12197.75883
men,33,0.15,12294.10807
men,34,0.15,12389.11161
men,35,0.15,12482.80758
men,36,0.15,12575.23584
men,37,0.15,12666.43768
men,38,0.15,12756.45546
men,39,0.15,12845.33234
men,40,0.15,12933.11196
men,41,0.15,13019.83809
men,42,0.15,13105.55437
men,43,0.15,13190.30395
men,44,0.15,13274.12924
men,45,0.15,13357.07159
men,46,0.15,13439.17097
men,47,0.15,13520.46574
men,48,0.15,13600.99234
men,49,0.15,13680.78503
men,50,0.15,13759.87565
men,51,0.15,13838.29331
men,52,0.15,13916.06425
men,53,0.15,13993.21151
men,54,0.15,14069.75478
men,55,0.15,14145.71014
men,56,0.15,14221.08991
men,57,0.15,14295.90242
men,58,0.15,14370.15187
men,59,0.15,14443.83814
men,60,0.15,14516.95665
men,61,0.15,14589.4982
men,62,0.15,14661.44891
men,63,0.15,14732.79002
men,64,0.15,14803.49784
men,65,0.15,14873.54367
men,66,0.15,14942.89373
men,67,0.15,15011.50909
men,68,0.15,15079.34563
men,69,0.15,15146.35408
men,70,0.15,15212.47993
men,71,0.15,15277.66353
men,72,0.15,15341.84009
men,73,0.15,15404.93975
men,74,0.15,15466.88766
men,75,0.15,15527.60408
men,76,0.15,15587.00452
men,77,0.15,15644.99987
men,78,0.15,15701.49661
men,79,0.15,15756.39696
men,80,0.15,15809.59915
men,81,0.15,15860.99765
men,82,0.15,15910.48346
men,83,0.15,15957.94439
men,84,0.15,16003.26541
men,85,0.15,16046.32899
men,86,0.15,16087.01549
men,87,0.15,16125.20355
men,88,0.15,16160.77051
men,89,0.15,16193.59288
men,90,0.15,16223.54676
men,91,0.15,16250.50837
men,92,0.15,16274.35453
men,93,0.15,16294.96317
men,94,0.15,16312.21382
men,95,0.15,16325.9882
men,96,0.15,16336.17072
men,97,0.15,16342.64901
men,98,0.15,16345.31447
men,99,0.15,16344.06278
men,100,0.15,16338.79445
women,16,0.15,10744.09204
women,17,0.15,10885.65834
women,18,0.15,11026.19398
women,19,0.15,11165.64691
women,20,0.15,11303.96814
women,21,0.15,11441.1118
women,22,0.15,11577.03515
women,23,0.15,11711.69863
women,24,0.15,11845.06587
women,25,0.15,11977.10365
women,26,0.15,12107.78189
women,27,0.15,12237.07358
women,28,0.15,12364.95474
women,29,0.15,12491.40428
women,30,0.15,12616.40394
women,31,0.15,12739.93815
women,32,0.15,12861.99391
women,33,0.15,12982.56061
women,34,0.15,13101.62989
women,35,0.15,13219.19545
women,36,0.15,13335.25287
women,37,0.15,13449.79941
women,38,0.15,13562.83381
women,39,0.15,13674.35605
women,40,0.15,13784.36716
women,41,0.15,13892.86898
women,42,0.15,13999.86395
women,43,0.15,14105.35483
women,44,0.15,14209.34454
women,45,0.15,14311.83584
women,46,0.15,14412.8312
women,47,0.15,14512.33246
women,48,0.15,14610.3407
women,49,0.15,14706.85595
women,50,0.15,14801.87703
women,51,0.15,14895.40129
women,52,0.15,14987.42442
women,53,0.15,15077.94029
women,54,0.15,15166.94073
women,55,0.15,15254.41535
women,56,0.15,15340.35142
women,57,0.15,15424.73366
women,58,0.15,15507.54413
women,59,0.15,15588.76214
women,60,0.15,15668.36405
women,61,0.15,15746.32325
women,62,0.15,15822.61004
women,63,0.15,15897.19157
women,64,0.15,15970.0318
women,65,0.15,16041.09144
women,66,0.15,16110.32797
women,67,0.15,16177.69559
women,68,0.15,16243.14529
women,69,0.15,16306.62488
women,70,0.15,16368.07902
women,71,0.15,16427.44929
women,72,0.15,16484.67436
women,73,0.15,16539.68999
women,74,0.15,16592.42928
women,75,0.15,16642.82273
women,76,0.15,16690.79847
women,77,0.15,16736.28245
women,78,0.15,16779.19859
women,79,0.15,16819.4691
women,80,0.15,16857.01466
women,81,0.15,16891.75471
women,82,0.15,16923.6077
women,83,0.15,16952.49144
women,84,0.15,16978.32336
women,85,0.15,17001.02083
women,86,0.15,17020.50152
women,87,0.15,17036.68373
women,88,0.15,17049.48673
women,89,0.15,17058.83111
women,90,0.15,17064.63916
women,91,0.15,17066.83523
women,92,0.15,17065.34606
women,93,0.15,17060.1012
women,94,0.15,17051.03329
women,95,0.15,17038.07846
women,96,0.15,17021.17669
women,97,0.15,17000.27208
women,98,0.15,16975.3132
women,99,0.15,16946.25341
women,100,0.15,16913.05112
men,16,0.2,9760.161576
men,17,0.2,9864.881256
men,18,0.2,9968.005378
men,19,0.2,10069.52672
men,20,0.2,10169.44337
men,21,0.2,10267.75862
men,22,0.2,10364.48083
men,23,0.2,10459.62327
men,24,0.2,10553.20393
men,25,0.2,10645.24535
men,26,0.2,10735.77435
men,27,0.2,10824.82181
men,28,0.2,10912.4224
men,29,0.2,10998.6143
men,30,0.2,11083.43892
men,31,0.2,11166.94058
men,32,0.2,11249.16625
men,33,0.2,11330.16516
men,34,0.2,11409.98855
men,35,0.2,11488.6893
men,36,0.2,11566.32163
men,37,0.2,11642.94077
men,38,0.2,11718.60263
men,39,0.2,11793.3635
men,40,0.2,11867.27971
men,41,0.2,11940.40733
men,42,0.2,12012.80189
men,43,0.2,12084.51803
men,44,0.2,12155.60926
men,45,0.2,12226.12765
men,46,0.2,12296.12357
men,47,0.2,12365.64542
men,48,0.2,12434.73935
men,49,0.2,12503.44906
men,50,0.2,12571.81553
men,51,0.2,12639.87679
men,52,0.2,12707.6677
men,53,0.2,12775.21976
men,54,0.2,12842.56087
men,55,0.2,12909.71518
men,56,0.2,12976.70286
men,57,0.2,13043.53997
men,58,0.2,13110.23825
men,59,0.2,13176.805
men,60,0.2,13243.24292
men,61,0.2,13309.54994
men,62,0.2,13375.71917
men,63,0.2,13441.73868
men,64,0.2,13507.59147
men,65,0.2,13573.25536
men,66,0.2,13638.70287
men,67,0.2,13703.90119
men,68,0.2,13768.8121
men,69,0.2,13833.39193
men,70,0.2,13897.59151
men,71,0.2,13961.3562
men,72,0.2,14024.62586
men,73,0.2,14087.33488
men,74,0.2,14149.41219
men,75,0.2,14210.78139
men,76,0.2,14271.36076
men,77,0.2,14331.06339
men,78,0.2,14389.79732
men,79,0.2,14447.46566
men,80,0.2,14503.96681
men,81,0.2,14559.19462
men,82,0.2,14613.03863
men,83,0.2,14665.38433
men,84,0.2,14716.11348
men,85,0.2,14765.10435
men,86,0.2,14812.23214
men,87,0.2,14857.36927
men,88,0.2,14900.38586
men,89,0.2,14941.1501
men,90,0.2,14979.5287
men,91,0.2,15015.3874
men,92,0.2,15048.59143
men,93,0.2,15079.00607
men,94,0.2,15106.49713
men,95,0.2,15130.93156
men,96,0.2,15152.17798
men,97,0.2,15170.10728
men,98,0.2,15184.59318
men,99,0.2,15195.51283
men,100,0.2,15202.74739
women,16,0.2,10134.91052
women,17,0.2,10263.23182
women,18,0.2,10390.41653
women,19,0.2,10516.4234
women,20,0.2,10641.21472
women,21,0.2,10764.75636
women,22,0.2,10887.0178
women,23,0.2,11007.97211
women,24,0.2,11127.5959
women,25,0.2,11245.86932
women,26,0.2,11362.77594
women,27,0.2,11478.30269
women,28,0.2,11592.43974
women,29,0.2,11705.1804
women,30,0.2,11816.52091
women,31,0.2,11926.46037
women,32,0.2,12035.00049
women,33,0.2,12142.14544
women,34,0.2,12247.90167
women,35,0.2,12352.27765
women,36,0.2,12455.28366
women,37,0.2,12556.9316
women,38,0.2,12657.23472
women,39,0.2,12756.20738
women,40,0.2,12853.86481
women,41,0.2,12950.22286
women,42,0.2,13045.29774
women,43,0.2,13139.1058
women,44,0.2,13231.66323
women,45,0.2,13322.98582
women,46,0.2,13413.08876
women,47,0.2,13501.98633
women,48,0.2,13589.6917
women,49,0.2,13676.21669
women,50,0.2,13761.57154
women,51,0.2,13845.76466
women,52,0.2,13928.80248
women,53,0.2,14010.68918
women,54,0.2,14091.42655
women,55,0.2,14171.01377
women,56,0.2,14249.44723
women,57,0.2,14326.72042
women,58,0.2,14402.82372
women,59,0.2,14477.74429
women,60,0.2,14551.46596
women,61,0.2,14623.96909
women,62,0.2,14695.23049
women,63,0.2,14765.22334
women,64,0.2,14833.91713
women,65,0.2,14901.27761
women,66,0.2,14967.26672
women,67,0.2,15031.84265
women,68,0.2,15094.95978
women,69,0.2,15156.56871
women,70,0.2,15216.61635
women,71,0.2,15275.04591
women,72,0.2,15331.79702
women,73,0.2,15386.8058
women,74,0.2,15440.00503
women,75,0.2,15491.32422
women,76,0.2,15540.68982
women,77,0.2,15588.02538
women,78,0.2,15633.25173
women,79,0.2,15676.28724
women,80,0.2,15717.04802
women,81,0.2,15755.4482
women,82,0.2,15791.4002
women,83,0.2,15824.81502
women,84,0.2,15855.60255
women,85,0.2,15883.67192
women,86,0.2,15908.93179
women,87,0.2,15931.29077
women,88,0.2,15950.65774
women,89,0.2,15966.94224
women,90,0.2,15980.05485
women,91,0.2,15989.90761
women,92,0.2,15996.41438
women,93,0.2,15999.49125
women,94,0.2,15999.05695
women,95,0.2,15995.03323
women,96,0.2,15987.34525
women,97,0.2,15975.92198
women,98,0.2,15960.69657
women,99,0.2,15941.60666
women,100,0.2,15918.5948
men,16,0.25,9067.692692
men,17,0.25,9156.501337
men,18,0.25,9243.651088
men,19,0.25,9329.151588
men,20,0.25,9413.017938
men,21,0.25,9495.270521
men,22,0.25,9575.934798
men,23,0.25,9655.041082
men,24,0.25,9732.624292
men,25,0.25,9808.723687
men,26,0.25,9883.382577
men,27,0.25,9956.648034
men,28,0.25,10028.57057
men,29,0.25,10099.20385
men,30,0.25,10168.6043
men,31,0.25,10236.83085
men,32,0.25,10303.94458
men,33,0.25,10370.00833
men,34,0.25,10435.08646
men,35,0.25,10499.24444
men,36,0.25,10562.54857
men,37,0.25,10625.06563
men,38,0.25,10686.8626
men,39,0.25,10748.00632
men,40,0.25,10808.5632
men,41,0.25,10868.59893
men,42,0.25,10928.17822
men,43,0.25,10987.3645
men,44,0.25,11046.21965
men,45,0.25,11104.8038
men,46,0.25,11163.17504
men,47,0.25,11221.3892
men,48,0.25,11279.49962
men,49,0.25,11337.55695
men,50,0.25,11395.60895
men,51,0.25,11453.70027
men,52,0.25,11511.87227
men,53,0.25,11570.16282
men,54,0.25,11628.60619
men,55,0.25,11687.23279
men,56,0.25,11746.06909
men,57,0.25,11805.1374
men,58,0.25,11864.45577
men,59,0.25,11924.03782
men,60,0.25,11983.89262
men,61,0.25,12044.02455
men,62,0.25,12104.43316
men,63,0.25,12165.11307
men,64,0.25,12226.05387
men,65,0.25,12287.23998
men,66,0.25,12348.65056
